datetime,sentiment_score
2025-04-23 18:01:00,0.9899
2025-04-23 18:28:00,0.9217
2025-04-23 18:34:00,0.9925
2025-04-23 19:00:00,0.9987
2025-04-23 19:14:00,0.994
2025-04-23 19:43:00,0.9933
2025-04-23 19:48:00,0.9975
2025-04-23 20:10:00,0.8151
2025-04-23 20:11:00,0.9481
2025-04-23 20:29:00,-0.4215
2025-04-23 20:32:00,0.7906
2025-04-23 20:50:00,0.8422
2025-04-23 20:58:00,0.9899
2025-04-23 21:00:00,0.9987
2025-04-23 21:10:00,0.9325
2025-04-23 22:00:00,0.9973
2025-04-23 22:02:00,-0.8787
2025-04-23 22:30:00,0.9983
2025-04-23 22:32:00,0.9634
2025-04-23 22:52:00,0.9826
2025-04-23 22:52:00,0.9911
2025-04-23 23:50:00,-0.9757
2025-04-24 00:41:00,0.9974
2025-04-24 00:49:00,0.989
2025-04-24 01:40:00,0.9778
2025-04-24 03:09:00,0.9931
2025-04-24 05:16:00,0.9981
2025-04-24 06:23:00,0.9881
2025-04-24 07:46:00,0.9988
2025-04-24 07:46:00,0.9988
2025-04-24 07:46:00,0.9982
2025-04-24 07:46:00,0.9991
2025-04-24 07:46:00,0.9992
2025-04-24 07:46:00,0.9943
2025-04-24 07:46:00,0.9992
2025-04-24 08:02:00,0.9559
2025-04-24 08:20:00,0.362
2025-04-24 08:30:00,0.9979
2025-04-24 08:44:00,0.9983
2025-04-24 08:44:00,0.9985
2025-04-24 08:44:00,0.9992
2025-04-24 08:44:00,0.9986
2025-04-24 10:10:00,0.9941
2025-04-24 10:12:00,0.9949
2025-04-24 10:45:00,0.9989
2025-04-24 11:01:00,-0.7637
2025-04-24 11:15:00,0.9981
2025-04-24 11:33:00,0.999
2025-04-24 11:52:00,-0.7609
2025-04-24 12:30:00,0.9313
2025-04-24 12:34:00,0.9985
2025-04-24 13:19:00,0.9531
2025-04-24 13:30:00,0.9944
2025-04-24 13:40:00,0.9836
2025-04-24 13:45:00,0.9949
2025-04-24 13:49:00,0.9995
2025-04-24 13:54:00,0.9619
2025-04-24 14:04:00,0.9964
2025-04-24 14:05:00,0.6133
2025-04-24 14:16:00,0.9966
2025-04-24 14:26:00,0.8393
2025-04-24 14:33:00,0.0
2025-04-24 15:10:00,0.9995
2025-04-24 15:16:00,0.8422
2025-04-24 15:25:00,-0.5719
2025-04-24 15:34:00,0.9971
2025-04-24 15:37:00,0.8173
2025-04-24 15:50:00,0.922
2025-04-24 16:31:00,0.9793
2025-04-24 16:44:00,0.9711
2025-04-24 17:23:00,0.8656
2025-04-24 17:43:00,0.9933
2025-04-24 17:56:00,-0.3806
2025-04-24 18:04:00,0.9577
2025-04-24 18:39:00,0.1779
2025-04-24 20:00:00,0.9996
2025-04-24 20:06:00,0.8393
2025-04-24 20:11:00,0.7111
2025-04-24 20:18:00,0.962
2025-04-24 20:54:00,0.9957
2025-04-24 20:57:00,0.8516
2025-04-24 21:33:00,0.9989
2025-04-24 22:04:00,-0.9786
2025-04-24 22:09:00,0.1531
